uid,method,smiles,warhead_atom_name
mol2mol_baseline_0032,mol2mol_baseline,C=CC(=O)N1Cc2cccc(Nc3ccn(C4CCC4)n3)c2C[C@@H]1C,C28
mol2mol_baseline_0033,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cncn3C(C)C)C(C)=O)c2C1,C30
mol2mol_baseline_0034,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(N)=O)c2CN1Cc1cccc(C(C)C)c1,C30
mol2mol_baseline_0035,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@H](/N=C3\CCN(C(C)=O)C3)C(C)C)c2C1,C33
mol2mol_baseline_0036,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnc(C(C)C)nc3)C(=O)CCl)c2C1,C31
mol2mol_baseline_0037,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)[nH]n3)c2C1,C26
mol2mol_baseline_0038,mol2mol_baseline,C=CC(=O)N1Cc2cccc(NCc3cncn3C(C)C)c2C1,C26
mol2mol_baseline_0039,mol2mol_baseline,C=CC(=O)N1CCc2cccc(C(=O)Nc3cn([C@H](C)CO)cn3)c2C1,C29
mol2mol_baseline_0040,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3nccn3C(C)C)c2C1,C26
mol2mol_baseline_0041,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nc3C)c2C1,C28
mol2mol_baseline_0042,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN(C(=O)C3CC3)c3cn(C(C)C)cn3)c2C1,C32
mol2mol_baseline_0043,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C(C)C)cn3)c2C1,C27
mol2mol_baseline_0044,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN3Cc4cn(C(C)C)nc4C3=O)c2C1,C28
mol2mol_baseline_0045,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)no3)c2C1,C26
mol2mol_baseline_0046,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccnn3C(C)C)c2C1,C26
mol2mol_baseline_0047,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C(Nc2cn(C(C)C)cn2)C1,C26
mol2mol_baseline_0048,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C)c2C(=O)Nc2cnc(C(C)C)nc21,C27
mol2mol_baseline_0049,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3nc(C(C)C)co3)C(C)C)c2C1,C32
mol2mol_baseline_0050,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnn(C(C)C)c3)C(=O)CC)c2C1,C32
mol2mol_baseline_0051,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@](C)(Nc3ncn(C(C)C)n3)C(=O)O)c2C1,C31
mol2mol_baseline_0052,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cccc(C(C)C)n3)c2C[C@H]1C,C31
mol2mol_baseline_0053,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C(C)(C)c2cnc(NC(C)C)nc21,C29
mol2mol_baseline_0054,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C1C(=O)Nc1ccn(C(C)C)n1,C26
mol2mol_baseline_0055,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nc3C(C)C)c2C1,C32
mol2mol_baseline_0056,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(C)C)c3)c2C1,C26
mol2mol_baseline_0057,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H](C)C=C)cn3)c2C1,C26
mol2mol_baseline_0058,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccn3C(C)C)c2C1,C26
mol2mol_baseline_0059,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ncn(C(C)C)n3)C(C)C)c2CN(C(=O)C(C)C)C1=O,C43
mol2mol_baseline_0060,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C4=CCN(C(=O)OC(C)(C)C)CC4)n[nH]3)c2C1,C38
mol2mol_baseline_0061,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@H](Nc3cn(Cc4ccc(C(C)C)cc4)cn3)C(C)O)c2C1,C37
mol2mol_baseline_0062,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C(C)O)nn3)c2C1,C29
mol2mol_baseline_0063,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(=O)C(C)C)n3)c2C1,C28
mol2mol_baseline_0064,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)NC(Cc3ccccc3)C(C)C)c2C1,C31
mol2mol_baseline_0065,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccn3C(C)c3ccccc3)c2C1,C28
mol2mol_baseline_0066,mol2mol_baseline,C=CC(=O)N1CC2=C(C(C)C)C(Nc3ncn(C(C)C)n3)C(=CC=C2)C1=O,C32
mol2mol_baseline_0067,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ncn(C)n3)c2C1,C22
mol2mol_baseline_0068,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3ncn(C(C)C)n3)c2C1,C26
mol2mol_baseline_0069,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN3CCn4ccnc4C3)c2C1,C24
mol2mol_baseline_0070,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnn(C(C)C)c3)C(=O)OCCOC)c2C1,C36
mol2mol_baseline_0071,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN(C(=O)COC)c3ccn(C(C)C)c3)c2C1,C33
mol2mol_baseline_0072,mol2mol_baseline,C=CC(=O)N1CC2CN(C(=O)Nc3ncc(C(C)C)s3)CC2C1,C29
mol2mol_baseline_0073,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C(Nc2cn(C(C)C)nn2)C1,C26
mol2mol_baseline_0074,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnn(C(C)C)c3)C(=O)NCC(C)C)c2C1,C37
mol2mol_baseline_0075,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cnccn3)c(C)n(C(C)C)c2C1,C28
mol2mol_baseline_0076,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(N)=O)c2C1,C17
mol2mol_baseline_0077,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nc(C)cs3)c2C1,C22
mol2mol_baseline_0078,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@H](Nc3cnn(C(C)C)c3)C(=O)C3CC3)c2C1,C32
mol2mol_baseline_0079,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cncn3C(C)C)c(C)n(Cc3ccccc3)c2C1C=C(C)C,C39
mol2mol_baseline_0080,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnc(C(C)C)c(C(C)C)c3)C(C)C)c2C1,C39
mol2mol_baseline_0081,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cn(C(C)C)cn3)c2C1,C26
mol2mol_baseline_0082,mol2mol_baseline,C=CC(=O)N1Cc2ccc3c(Nc4cn(C)cn4)ncnc3c2C1,C22
mol2mol_baseline_0083,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)NC(C=O)CCC)c2C1,C27
mol2mol_baseline_0084,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N(CC)c3cccc(C(C)C)c3)c2C1,C31
mol2mol_baseline_0085,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C)c(C(=O)Nc3ccn(C(C)C)n3)c2C1,C28
mol2mol_baseline_0086,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cccnc3)cn(C(C)C)c2C1,C26
mol2mol_baseline_0087,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C)c3)c2C1,C22
mol2mol_baseline_0088,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N[C@@H](C)c3cn(C(C)C)cn3)c2C1,C30
mol2mol_baseline_0089,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N[C@H](C)c3c[nH]cn3)c2C1,C24
mol2mol_baseline_0090,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C)c2C1Nc1cn(C(C)C)cn1,C26
mol2mol_baseline_0091,mol2mol_baseline,C=CC(=O)N(Cc1ccccc1)C(=O)c1c[nH]c(C(C)C)n1,C25
mol2mol_baseline_0092,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N3CC(C)N(C(=O)c4cncn4C(C)C)C3)c2C1,C35
mol2mol_baseline_0093,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@H](NC(=O)c3ccn(C(C)C)n3)c3cccc(C(C)C)c3)c2C1,C38
mol2mol_baseline_0094,mol2mol_baseline,C=CC(=O)N1Cc2[nH]c(C)c(C(=O)Nc3ccn(C(C)C)n3)c2C1,C27
mol2mol_baseline_0095,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N[C@@H](C)C(=O)OC)c2C1,C26
mol2mol_baseline_0096,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3ccc(C(C)=O)cn3)cn(C(C)C)c2C1,C30
mol2mol_baseline_0097,mol2mol_baseline,C=CCn1cc(C(=O)Nc2cnn(C(C)C)c2)c2c1CN(C(=O)C=C)C2,C29
mol2mol_baseline_0098,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cn(C(C)C)nn3)c(C)n(C(C)C)c2C1,C33
mol2mol_baseline_0099,mol2mol_baseline,C=CC(=O)N1Cc2cnc(C)c(C(=O)Nc3cncn3C3CCCC3)c2C1,C30
mol2mol_baseline_0100,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN3CCN(C(=O)c4cn(C(C)C)cn4)CC3)c2C1,C35
mol2mol_baseline_0101,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)nn3C(C)C)c2C1,C32
mol2mol_baseline_0102,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnccn3)c2C1,C21
mol2mol_baseline_0103,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cc(-c4ccccc4)no3)c3ccccc3n2C1,C25
mol2mol_baseline_0104,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3ncn(C(C)C)n3)c2Cc2cccc(C(C)C)c21,C36
mol2mol_baseline_0105,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3ccn(C(C)C)n3)c2C[C@H]1C(=O)O,C31
mol2mol_baseline_0106,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H]4C[C@@H]4COC(C)=O)cn3)c2C1,C31
mol2mol_baseline_0107,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ncn(C(C)C)n3)C(C)C)c2C1,C32
mol2mol_baseline_0108,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3cn(C4CCC4)cn3)cc2C1,C26
mol2mol_baseline_0109,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(C)Nc3cn(C(C)C)nn3)c2C1,C28
mol2mol_baseline_0110,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(CC(C)C)c3)c2C1,C28
mol2mol_baseline_0111,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(N)=O)c2C(=O)Nc2ncn(C(C)C)c21,C27
mol2mol_baseline_0112,mol2mol_baseline,C=C=C[C@@H]1Cc2cccc(C(=O)Nc3cnn(C(C)(C)C)c3)c2CN1C(=O)C=C,C35
mol2mol_baseline_0113,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3cnn(C(C)C)c3)cc2C1,C26
mol2mol_baseline_0114,mol2mol_baseline,C=CC(=O)N1Cc2c(ccc(Cl)c2Cl)C1C(=O)Nc1cn(C(C)C)cn1,C26
mol2mol_baseline_0115,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@H](Nc3cc(C)no3)C(C)C)c2C1,C28
mol2mol_baseline_0116,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)n(C)n3)c2C1,C28
mol2mol_baseline_0117,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)N[C@H](C)c3cn(C(C)C)cn3)c2C1,C30
mol2mol_baseline_0118,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(-c4ccccc4)c3)c2C1,C24
mol2mol_baseline_0119,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C(C)C)n3)c2C1,C26
mol2mol_baseline_0120,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnn(C(C)(C)C)c3)C(=O)C3CC3)c2C1,C34
mol2mol_baseline_0121,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ccn(C(C)C)n3)C(=O)O)c2C1,C29
mol2mol_baseline_0122,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)nn3CC)c2C1,C30
mol2mol_baseline_0123,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ccn(C(C)C)n3)C(=O)C(F)(F)F)c2C1,C30
mol2mol_baseline_0124,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nc4cc(C)ccc4[nH]3)c2C1,C24
mol2mol_baseline_0125,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3ccc(C(C)C)cc3)cc2C1,C27
mol2mol_baseline_0126,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)cn3)c2Cc2c(C(=O)O)cccc21,C33
mol2mol_baseline_0127,mol2mol_baseline,C=CC(=O)N1Cc2c(OC)cccc2C1C(=O)Nc1ccc(C(C)C)c(NC(=O)C2CC2)c1,C37
mol2mol_baseline_0128,mol2mol_baseline,C=CC(=O)N1C(=O)c2cccc(C(=O)Nc3cn(C(C)C)cn3)c2C[C@H]1C,C30
mol2mol_baseline_0129,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)n[nH]3)c2C1,C26
mol2mol_baseline_0130,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn[nH]c3)c2C[C@H]1C,C24
mol2mol_baseline_0131,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cnn(C(C)C)c3)c2C1,C26
mol2mol_baseline_0132,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nn3)c2Cc2c1cc(OC)n2C(C)C,C38
mol2mol_baseline_0133,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C)cn3)c2C1,C23
mol2mol_baseline_0134,mol2mol_baseline,C=CC(=O)N1Cc2cccc(Cc3cn(C(C)C)nn3)c2C1,C25
mol2mol_baseline_0135,mol2mol_baseline,C=CC(=O)N1Cc2cc(C(=O)Nc3cnn(C4CCN(C(C)=O)CC4)c3)c3ccccc3c2C1,C35
mol2mol_baseline_0136,mol2mol_baseline,C#C[C@@H]1Cc2cc(C(=O)Nc3ccn(CC(=O)OC)n3)ccc2CN1C(=O)C=C,C31
mol2mol_baseline_0137,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C)c(C(=O)Nc3ncccn3)c2C1,C23
mol2mol_baseline_0138,mol2mol_baseline,C=CC(=O)N(Cc1ccccc1)Cc1cn(C)cc1C(=O)N[C@@H](C)c1ccccc1,C32
mol2mol_baseline_0139,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@H](C)C(=O)O)c2C1,C21
mol2mol_baseline_0140,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3ncn(C(C)C)n3)cc2C1,C26
mol2mol_baseline_0141,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ncn(C(C)C)n3)C(C)(C)C)c2C1,C34
P5-1v2_base_0000,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H](C)O[C@H](C)C(C)(C)C)cn3)c2C1,C37
P5-1v2_base_0001,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nn3)c2C1,C26
P5-1v2_base_0002,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H]4CC[C@H](N)CC4)cn3)c2C1,C31
P5-1v2_base_0003,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)cn3)c2C1,C26
P5-1v2_base_0004,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nc3[C@H](O)[C@H](F)CO)c2C1,C34
P5-1v2_base_0005,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)(C)C)cn3)c2C1,C28
P5-1v2_base_0006,P5-1v2_base,C=CC(=O)Nc1cncc(C(=O)Nc2cn(C(C)C)cn2)c1,C24
P5-1v2_base_0007,P5-1v2_base,C=CC(=O)N1CCc2cccc(C(=O)Nc3cnn(C(=O)N(C)C(C)C)c3)c2C1,C33
P5-1v2_base_0008,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H](C)C(C)=O)cn3)c2C1,C28
P5-1v2_base_0009,P5-1v2_base,C=CC(=O)N1Cc2cccc([C@@H](O)Nc3cnn(C(C)C)c3)c2C1,C27
P5-1v2_base_0010,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cncc(C(C)C)c3)c2C1,C27
P5-1v2_base_0011,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(=O)C(C)C)cn3)c2C1,C28
P5-1v2_base_0012,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)c3cc4c(OC(C)C(C)=O)ncc(C(=O)NO)n4c3)c2C1,C34
P5-1v2_base_0013,P5-1v2_base,C=CC(=O)N1Cc2cccc(C3(C)CC(=O)N(c4cc(C(C)=O)[nH]n4)C3)c2C1,C30
P5-1v2_base_0014,P5-1v2_base,C=CC(=O)N1Cc2ccccc2C1C(=O)Nc1cn(C(C)C(C)(C)C)cn1,C32
P5-1v2_base_0015,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C(=O)Nc4ccccn4)nc3)c2C1,C28
P5-1v2_base_0016,P5-1v2_base,C=CC(=O)N1Cc2c(C(=O)Nc3ccc(N4CC(CC)C4)cn3)cccc2C1=O,C30
P5-1v2_base_0017,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)N(CC)n3cnc(C(C)C)c3)c2C1,C30
P5-1v2_base_0018,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C)cn3)c2C1,C22
P5-1v2_base_0019,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4(C(=O)Nc5ccc(OC)cn5)CC4)cn3)c2C1,C34
P5-1v2_base_0020,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C(C)(C)c4cnccn4)cn3)c2C1,C31
P5-1v2_base_0021,P5-1v2_base,C=CC(=O)N1Cc2cncc(C(=O)Nc3cn(C(=O)N(c4ccccc4)c4ccccc4C)cn3)c2C1,C33
P5-1v2_base_0022,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(C)C)n3)c2C1,C26
P5-1v2_base_0023,P5-1v2_base,C=CC(=O)Nc1cn([C@H](C)c2ccccc2C)cn1,C21
P5-1v2_base_0024,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C(C)(C)C)cn3)c2C1,C32
P5-1v2_base_0025,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4CCC(C)C4)cn3)c2C1,C30
P5-1v2_base_0026,P5-1v2_base,C=CC(=O)N(Cc1cccc(C(=O)Nc2cnn(Cc3ccccc3)c2)c1)C1=CCCC1,C32
P5-1v2_base_0027,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(-c4ccccc4)cn3)c2C1,C24
P5-1v2_base_0028,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(-c4cc(C(F)(F)F)cc(C)c4F)cn3)c2C1,C28
P5-1v2_base_0029,P5-1v2_base,C=CC(=O)N1Cc2cccc(C#N)c2C(Nc2cn(CC(=O)N(C)O)cn2)C1,C29
P5-1v2_base_0030,P5-1v2_base,C=CC(=O)N1Cc2ccccc2C1c1cccc(C(=O)Nc2cn(C(C)C)cn2)n1,C30
P5-1v2_base_0031,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3ncc(C(=O)Nc4cn(C(CF)CF)cn4)nn3)c2C1,C33
P5-1v2_base_0032,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)(C)CC)cn3)c2C1,C30
P5-1v2_base_0033,P5-1v2_base,C=CC(=O)N1Cc2ccc(C(=O)Nc3cn(C(C)C)cn3)cc2C1,C26
P5-1v2_base_0034,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(CC)cn3)c2C1,C24
P5-1v2_base_0035,P5-1v2_base,C=CC(=O)Nc1cccc(C(=O)Nc2cn(C(=O)C(C(=O)NC(C)C)c3cccc(OC(F)(F)F)c3)cn2)c1,C38
P5-1v2_base_0036,P5-1v2_base,C=CC(=O)N1CC2=CN3C=C(N=CC3C(=O)O)NC(=O)C(=CC=C2)C1,C26
P5-1v2_base_0037,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(N(C)C)cn3C(C(=O)NC(C)C)C(C)C)c21,C40
P5-1v2_base_0038,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(N)c3)c2C1,C21
P5-1v2_base_0039,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C(F)(F)F)cn3)c2C1,C26
P5-1v2_base_0040,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)C(C)c3cn(-c4cn(CC(=O)N(C)C)cn4)cn3)c2C1,C35
P5-1v2_base_0041,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)N3Cc4cn(CC)nc4C(C)(C)C3)c2C1,C32
P5-1v2_base_0042,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(=O)CCC(=O)OC)cn3)c2C1,C31
P5-1v2_base_0043,P5-1v2_base,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C(C)C)cn3)c2C1,C27
