uid,method,smiles,warhead_atom,iptm,ligand_iptm,confidence_score,complex_pde,protein_iptm,n_lig_atoms,mpae_min,mpae_5pct,d_SG,burgi_dunitz_dev,geom_ok,n_h_bonds,n_vdw_contacts,pocket_occupancy_pct,valid,mw,logp,qed,has_acryl,tc_mol1
mol2mol_baseline_0010,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(C)C)n3)c2C1,C26,0.8623553514480591,0.8623553514480591,0.7990663647651672,1.2744204998016357,0.0,24,2.4464125633239746,3.4479146003723145,1.8472458699371872,45.99121643824978,True,4,18,95.83333333333333,True,324.3840000000001,2.7445000000000013,0.8794439335696442,True,0.6212121212121212
mol2mol_baseline_0013,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(=C)C)cn3)c2C1,C24,0.9736537337303162,0.9736537337303162,0.839870274066925,1.243683099746704,0.0,24,0.7793505191802979,1.4432759284973145,1.4558118005085687,21.597778671579647,True,3,18,100.0,True,322.36800000000005,2.6542000000000012,0.880067245490072,True,0.5882352941176471
mol2mol_baseline_0014,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cncn3C(C)C)c2C1,C26,0.9285344481468201,0.9285344481468201,0.8207125067710876,1.2412025928497314,0.0,24,1.3229527473449707,2.1131649017333984,1.9184665164917516,18.83528122232154,True,2,18,95.83333333333333,True,324.3840000000001,2.7445000000000013,0.8794439335696442,True,0.5652173913043478
mol2mol_baseline_0012,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cn(C(C)C)cn3)C(C)C)c2C1,C32,0.9219059944152832,0.9219059944152832,0.8270871043205261,1.2152098417282104,0.0,26,1.1936570405960083,2.1685783863067627,1.3104009191846595,35.089580998895485,True,2,21,96.15384615384616,True,352.48200000000014,4.301400000000004,0.7886467421507398,True,0.4473684210526316
mol2mol_baseline_0015,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3ccn(C(C)C)n3)cn(C(C)C)c2C1,C31,0.903335690498352,0.903335690498352,0.8126856088638306,1.1071983575820923,0.0,26,2.002991199493408,2.8207287788391113,1.5025142581020647,38.55277656019129,True,1,19,92.3076923076923,True,355.4420000000001,3.126900000000002,0.8377240992314415,True,0.44
mol2mol_baseline_0011,mol2mol_baseline,C=CC(=O)N1Cc2c(ccc3ccccc23)C1C(=O)Nc1cc(C(C)(C)C)ccn1,C31,0.9548918008804321,0.9548918008804321,0.8424817323684692,1.0620561838150024,0.0,30,0.9318498969078064,1.892780065536499,1.5016819388272604,15.19636758588264,True,2,25,76.66666666666667,True,399.49400000000014,4.740300000000003,0.6472375750467693,True,0.26373626373626374
mol2mol_baseline_0016,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cccn3C(C)C)c2C1,C26,0.9675495624542236,0.9675495624542236,0.8429476618766785,1.1314232349395752,0.0,24,0.8809266686439514,1.5244253873825073,1.4388968947773837,19.782240076241507,True,1,19,91.66666666666667,True,323.39600000000013,3.3495000000000017,0.8773731227222705,True,0.5441176470588235
mol2mol_baseline_0020,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cn(C(C)C)nn3)c2C1,C26,0.9599497318267822,0.9599497318267822,0.8442861437797546,0.8142537474632263,0.0,23,1.0078670978546143,1.61210298538208,1.9365106167021138,57.97688171999823,True,5,17,95.65217391304348,True,311.38900000000007,2.4993000000000007,0.8618434119444844,True,0.4533333333333333
mol2mol_baseline_0018,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)/C=C/c3cccn3C)c2C1,C23,0.9233641028404236,0.9233641028404236,0.8246452212333679,1.149938702583313,0.0,23,1.4153209924697876,2.1811766624450684,1.86253497494678,55.34846831091241,True,1,19,100.0,True,306.36500000000007,2.9494000000000016,0.6436063924701345,True,0.4305555555555556
mol2mol_baseline_0017,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(-c4cc(C(C)C)no4)no3)c2C1,C29,0.9450279474258423,0.9450279474258423,0.8268782496452332,1.1809636354446411,0.0,29,1.1766867637634277,1.9516828060150146,1.4009300209146778,18.02272884117886,True,5,21,86.20689655172414,True,392.4150000000002,3.733500000000002,0.6639919838013978,True,0.5131578947368421
mol2mol_baseline_0021,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3cn(C(C)C)cn3)cc2C1,C26,0.9661707282066345,0.9661707282066345,0.8293091654777527,1.1160777807235718,0.0,24,0.7702512741088867,1.4823323488235474,1.94372431288493,16.757909666001723,True,3,18,87.5,True,324.38400000000007,2.7445000000000013,0.8794439335696442,True,0.4189189189189189
mol2mol_baseline_0022,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C1C(=O)Nc1cc(C(C)C)ccn1,C27,0.9687464237213135,0.9687464237213135,0.8443267941474915,0.8945271968841553,0.0,25,0.7673836946487427,1.4968763589859009,1.9037764052797808,32.53774709830202,True,2,20,92.0,True,335.40700000000004,3.413000000000002,0.8710485988783558,True,0.32926829268292684
mol2mol_baseline_0023,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C)n3)c2C1,C22,0.9644660353660583,0.9644660353660583,0.8395704627037048,1.1840921640396118,0.0,22,0.9325519800186157,1.6184896230697632,1.9626878002881665,61.00923166104789,True,4,16,95.45454545454545,True,296.33000000000004,1.7006,0.8766533781081279,True,0.6507936507936508
mol2mol_baseline_0019,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nc4cc(C)cc(C)c4s3)c2C1,C26,0.8888251185417175,0.8888251185417175,0.7968827486038208,1.2441022396087646,0.0,27,1.9714078903198242,2.889681339263916,1.9477473122815496,54.5331621115414,True,1,20,88.88888888888889,True,377.46900000000016,4.193640000000003,0.6962203345897571,True,0.49333333333333335
mol2mol_baseline_0024,mol2mol_baseline,C=CC(=O)N1Cc2ccc(C(=O)Nc3ccn(C(C)C)n3)cc2C1,C26,0.9280380010604858,0.9280380010604858,0.8174425959587097,1.2075209617614746,0.0,24,1.3405141830444336,2.139805316925049,1.7536903235748313,13.09496748715705,True,3,18,95.83333333333333,True,324.38400000000007,2.7445000000000013,0.8794439335696442,True,0.40540540540540543
mol2mol_baseline_0026,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C4CC4)cn3)c2C1,C24,0.97769695520401,0.97769695520401,0.8419834971427917,1.192524790763855,0.0,24,0.6846933960914612,1.3767517805099487,1.8906739164118167,42.25194257188727,True,4,18,95.83333333333333,True,322.3680000000001,2.498500000000001,0.8795481092108797,True,0.5652173913043478
mol2mol_baseline_0025,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccs3)c2CN1C(=O)C=C,C25,0.9580830335617065,0.9580830335617065,0.8290421366691589,1.0922749042510986,0.0,26,0.8331907987594604,1.5716608762741089,1.3818361752754922,44.05696398292406,True,2,17,96.15384615384616,True,368.4180000000002,2.3532,0.8400780654233616,True,0.4246575342465753
mol2mol_baseline_0027,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cncn3C3CCCC3)c2C1,C28,0.9066689610481262,0.9066689610481262,0.8151642084121704,1.2262846231460571,0.0,26,1.7850537300109863,2.640363931655884,1.9457991021942633,67.10569504305923,True,2,19,96.15384615384616,True,350.42200000000025,3.2787000000000015,0.8606797030040112,True,0.4864864864864865
mol2mol_baseline_0028,mol2mol_baseline,C=CC(=O)N1Cc2c(C(=O)Nc3cnn(C(C)C)c3)c3ccccc3n2C1,C27,0.9190756678581238,0.9190756678581238,0.8167204856872559,1.2509360313415527,0.0,27,1.545145869255066,2.3536133766174316,1.937197250617501,8.5152984443326,True,1,18,81.48148148148148,True,363.4210000000001,3.1567000000000016,0.7239224579039492,True,0.313953488372093
mol2mol_baseline_0031,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnn(C4CCN(CC)CC4)c3)c2C1,C33,0.9477282166481018,0.9477282166481018,0.8455586433410645,1.1302999258041382,0.0,29,1.0557138919830322,1.822028398513794,1.5984025944048004,8.273522470075534,True,2,18,79.3103448275862,True,393.4910000000003,2.820400000000001,0.7933275213018612,True,0.5064935064935064
mol2mol_baseline_0030,mol2mol_baseline,C=CC(=O)N(Cc1ccccc1)Cc1c(C(=O)Nc2ccn(C(C)C)n2)cn(C(C)C)c1C,C39,0.7960195541381836,0.7960195541381836,0.7636988162994385,1.1662023067474365,0.0,33,3.804025173187256,4.958853244781494,1.9529651843542941,34.301779037491656,True,2,25,84.84848484848484,True,447.58300000000014,5.121920000000005,0.4627656520078606,True,0.29213483146067415
mol2mol_baseline_0029,mol2mol_baseline,C=CC(=O)N1Cc2oc(-c3ccc(C(C)C)cc3)nc2C[C@H]1C(=O)Nc1ccccc1C(C)C,C38,0.7478563189506531,0.7478563189506531,0.75982666015625,1.402017593383789,0.0,34,4.047162055969238,6.218435287475586,1.9449836161006602,29.002023341115034,True,0,27,79.41176470588235,True,457.57400000000024,5.666400000000006,0.4843052357846712,True,0.24210526315789474
mol2mol_baseline_0032,mol2mol_baseline,C=CC(=O)N1Cc2cccc(Nc3ccn(C4CCC4)n3)c2C[C@@H]1C,C28,0.9133078455924988,0.9133078455924988,0.8292908668518066,0.9380469918251038,0.0,25,1.7324082851409912,2.6166882514953613,1.9356943134958056,59.32300796961789,True,1,20,80.0,True,336.43900000000014,3.810900000000003,0.8638801549727836,True,0.3023255813953488
mol2mol_baseline_0033,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cncn3C(C)C)C(C)=O)c2C1,C30,0.9256600737571716,0.9256600737571716,0.8238551020622253,1.2672419548034668,0.0,26,1.3201979398727417,2.1580395698547363,1.9731643158642413,55.695313828941636,True,2,20,96.15384615384616,True,352.4380000000002,3.2344000000000017,0.8106822543507545,True,0.4050632911392405
mol2mol_baseline_0035,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@H](/N=C3\CCN(C(C)=O)C3)C(C)C)c2C1,C33,0.9175789952278137,0.9175789952278137,0.8159418106079102,0.9980093836784363,0.0,26,1.3804184198379517,2.347992181777954,1.9646150004771945,21.248576329203786,True,2,20,69.23076923076923,True,353.4660000000001,3.105100000000002,0.7811862675459275,True,0.39473684210526316
mol2mol_baseline_0034,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(N)=O)c2CN1Cc1cccc(C(C)C)c1,C30,0.924629807472229,0.924629807472229,0.8272500038146973,1.1324334144592285,0.0,27,1.1804322004318237,2.001126527786255,1.2193160237198568,49.64666033545359,True,2,22,85.18518518518519,True,363.46100000000007,3.354300000000002,0.8285872997114866,True,0.3670886075949367
mol2mol_baseline_0036,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnc(C(C)C)nc3)C(=O)CCl)c2C1,C31,0.8769462704658508,0.8769462704658508,0.8135043382644653,1.2403581142425537,0.0,28,2.2720584869384766,3.3014321327209473,1.3852591342055833,10.266314543812953,True,2,21,96.42857142857143,True,398.8940000000002,3.5893000000000024,0.5694349572842157,True,0.4675324675324675
mol2mol_baseline_0037,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)[nH]n3)c2C1,C26,0.9812888503074646,0.9812888503074646,0.8329450488090515,1.022117018699646,0.0,24,0.6309756636619568,1.240110158920288,1.916156416397158,28.783509807685988,True,4,18,100.0,True,324.38400000000007,2.813600000000001,0.8489635346300213,True,0.6029411764705882
mol2mol_baseline_0038,mol2mol_baseline,C=CC(=O)N1Cc2cccc(NCc3cncn3C(C)C)c2C1,C26,0.9523522257804871,0.9523522257804871,0.8238169550895691,1.233275294303894,0.0,23,1.091415286064148,1.7806434631347656,1.2878414558089057,22.01161846604481,True,3,18,95.65217391304348,True,310.4010000000001,3.104300000000001,0.8633975337676107,True,0.4342105263157895
mol2mol_baseline_0039,mol2mol_baseline,C=CC(=O)N1CCc2cccc(C(=O)Nc3cn([C@H](C)CO)cn3)c2C1,C29,0.9714634418487549,0.9714634418487549,0.8446170687675476,1.1612344980239868,0.0,26,0.7497220635414124,1.441270351409912,1.5881315493056614,1.8854902179475488,True,4,19,96.15384615384616,True,354.41000000000014,1.7593999999999999,0.8011669597807688,True,0.5405405405405406
mol2mol_baseline_0040,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3nccn3C(C)C)c2C1,C26,0.9726977348327637,0.9726977348327637,0.8564916849136353,0.8171309232711792,0.0,23,0.7449137568473816,1.3542643785476685,1.644628006997328,49.28583872780453,True,2,17,95.65217391304348,True,310.4010000000001,3.104300000000001,0.8633975337676107,True,0.44594594594594594
mol2mol_baseline_0041,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nc3C)c2C1,C28,0.9307427406311035,0.9307427406311035,0.8301368951797485,0.8822925686836243,0.0,25,1.3498437404632568,2.179513454437256,1.9573627620857599,43.27367370220961,True,0,19,88.0,True,338.4110000000001,3.052920000000001,0.8714043386848063,True,0.5797101449275363
mol2mol_baseline_0043,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cnc(C(C)C)cn3)c2C1,C27,0.9562804102897644,0.9562804102897644,0.8258434534072876,1.2525070905685425,0.0,25,1.1014606952667236,1.7753090858459473,1.9458864966384866,17.573411762785668,True,4,19,100.0,True,336.3950000000001,2.8805000000000014,0.8712695299433523,True,0.7419354838709677
mol2mol_baseline_0042,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN(C(=O)C3CC3)c3cn(C(C)C)cn3)c2C1,C32,0.8988686203956604,0.8988686203956604,0.8369420170783997,0.9322847723960876,0.0,28,1.9486513137817383,2.7392091751098633,1.8621149630192024,4.140101087470825,True,2,21,92.85714285714286,True,378.47600000000006,3.4354000000000022,0.7237657550478542,True,0.39759036144578314
mol2mol_baseline_0044,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CN3Cc4cn(C(C)C)nc4C3=O)c2C1,C28,0.8771185874938965,0.8771185874938965,0.8008174896240234,1.226741075515747,0.0,26,2.3690030574798584,3.3551371097564697,1.9452839462916462,48.55005911511134,True,3,20,96.15384615384616,True,350.42200000000014,2.648200000000001,0.7967320128963643,True,0.44
mol2mol_baseline_0045,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C(C)C)no3)c2C1,C26,0.9732261896133423,0.9732261896133423,0.8369305729866028,1.2172586917877197,0.0,24,0.8187466263771057,1.456007480621338,1.6775775581176557,44.799387458298554,True,5,18,95.83333333333333,True,325.3680000000001,3.078500000000002,0.8766152240973928,True,0.5652173913043478
mol2mol_baseline_0046,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccnn3C(C)C)c2C1,C26,0.9543818831443787,0.9543818831443787,0.8340533375740051,1.1846474409103394,0.0,24,1.1001160144805908,1.8346596956253052,1.8505055393054075,43.61754421223094,True,2,18,95.83333333333333,True,324.3840000000001,2.7445000000000013,0.8794439335696442,True,0.5588235294117647
mol2mol_baseline_0047,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C(Nc2cn(C(C)C)cn2)C1,C26,0.9744120836257935,0.9744120836257935,0.8413384556770325,1.1490966081619263,0.0,23,0.7265362739562988,1.356410026550293,1.711434852630973,17.650280334217825,True,2,18,86.95652173913044,True,310.40100000000007,3.1454000000000013,0.8826750211109463,True,0.3717948717948718
mol2mol_baseline_0048,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C)c2C(=O)Nc2cnc(C(C)C)nc21,C27,0.931589663028717,0.931589663028717,0.8238431215286255,1.1449534893035889,0.0,25,1.515204668045044,2.3176047801971436,1.4754901232471893,37.550466356392576,True,1,19,96.0,True,336.3950000000001,3.1933200000000017,0.8547072228633541,True,0.3373493975903614
mol2mol_baseline_0049,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3nc(C(C)C)co3)C(C)C)c2C1,C32,0.9501457214355469,0.9501457214355469,0.8440384864807129,0.9406424164772034,0.0,26,0.9823877215385437,1.7608482837677002,1.620896273639988,29.691979278266246,True,3,20,88.46153846153847,True,353.4660000000001,4.635400000000004,0.7690071670621944,True,0.41025641025641024
mol2mol_baseline_0050,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3cnn(C(C)C)c3)C(=O)CC)c2C1,C32,0.9339473247528076,0.9339473247528076,0.8056936264038086,1.140610694885254,0.0,27,1.425449252128601,2.266141891479492,1.3957207466753525,26.845194849528667,True,2,21,85.18518518518519,True,366.4650000000002,3.624500000000003,0.7601234342519636,True,0.425
mol2mol_baseline_0051,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@](C)(Nc3ncn(C(C)C)n3)C(=O)O)c2C1,C31,0.8881492018699646,0.8881492018699646,0.8169600367546082,1.2396200895309448,0.0,27,2.0414843559265137,3.1722826957702637,1.9448873030075555,38.199402661449454,True,3,19,96.29629629629629,True,369.4250000000002,2.2991,0.7580251082146685,True,0.4125
mol2mol_baseline_0053,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C(C)(C)c2cnc(NC(C)C)nc21,C29,0.9219688177108765,0.9219688177108765,0.8118274807929993,1.2105070352554321,0.0,25,1.6609549522399902,2.413918972015381,1.7079403692752264,5.641714544188176,True,3,19,84.0,True,336.439,3.655400000000002,0.8692661663756118,True,0.3375
mol2mol_baseline_0052,mol2mol_baseline,C=CC(=O)N1Cc2cccc(CNc3cccc(C(C)C)n3)c2C[C@H]1C,C31,0.9726607203483582,0.9726607203483582,0.8545700907707214,1.1018080711364746,0.0,26,0.7536101341247559,1.4026998281478882,1.6879971860462337,18.65616285053636,True,2,22,88.46153846153847,True,349.4780000000001,4.2763000000000035,0.81978450607353,True,0.3493975903614458
mol2mol_baseline_0054,mol2mol_baseline,C=CC(=O)N1Cc2ccccc2C1C(=O)Nc1ccn(C(C)C)n1,C26,0.8048365712165833,0.8048365712165833,0.7697456479072571,1.3516608476638794,0.0,24,3.717444896697998,5.101498603820801,1.961564920388821,38.67670526371819,True,1,18,95.83333333333333,True,324.38400000000007,2.6720000000000006,0.8793345718998005,True,0.32098765432098764
mol2mol_baseline_0055,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C)nc3C(C)C)c2C1,C32,0.936773955821991,0.936773955821991,0.8142158389091492,1.0572079420089722,0.0,27,1.2788691520690918,2.124931812286377,1.8535392861765851,28.46068044146307,True,3,20,81.48148148148148,True,366.46500000000015,3.8679000000000032,0.8170525438694612,True,0.6417910447761194
mol2mol_baseline_0056,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(C)C)c3)c2C1,C26,0.9507073163986206,0.9507073163986206,0.8302756547927856,1.0810328722000122,0.0,24,1.0783711671829224,1.8152137994766235,1.5846490275767673,37.71802393417545,True,2,17,83.33333333333333,True,323.39600000000013,3.3495000000000017,0.8773731227222705,True,0.5588235294117647
mol2mol_baseline_0057,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn([C@H](C)C=C)cn3)c2C1,C26,0.9763712286949158,0.9763712286949158,0.8424647450447083,1.2165532112121582,0.0,25,0.7323700785636902,1.3635138273239136,1.9527155445174258,58.340035713015624,True,3,19,96.0,True,336.3950000000001,2.9106000000000014,0.6742099492494147,True,0.6176470588235294
mol2mol_baseline_0058,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccn3C(C)C)c2C1,C26,0.9796369075775146,0.9796369075775146,0.8625307083129883,0.7606496214866638,0.0,24,0.6738929152488708,1.2350984811782837,1.9481030423979129,49.90658593054604,True,2,18,87.5,True,324.3840000000001,2.7445000000000013,0.8794439335696442,True,0.582089552238806
mol2mol_baseline_0062,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cn(C(C)C(C)O)nn3)c2C1,C29,0.9590364694595337,0.9590364694595337,0.8405638933181763,1.131796956062317,0.0,26,0.928744912147522,1.621035099029541,1.973122251483674,47.175845173566046,True,5,18,96.15384615384616,True,355.3980000000001,1.5003999999999997,0.7918661854809789,True,0.5857142857142857
mol2mol_baseline_0059,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(Nc3ncn(C(C)C)n3)C(C)C)c2CN(C(=O)C(C)C)C1=O,C43,0.9520511627197266,0.9520511627197266,0.8365761041641235,1.0550340414047241,0.0,34,0.9354206323623657,1.7714605331420898,1.7144898603957979,2.2092100647160464,True,2,24,85.29411764705883,True,466.5860000000003,4.301000000000004,0.6107970876460923,True,0.3111111111111111
mol2mol_baseline_0061,mol2mol_baseline,C=CC(=O)N1Cc2cccc([C@@H](Nc3cn(Cc4ccc(C(C)C)cc4)cn3)C(C)O)c2C1,C37,0.9255823493003845,0.9255823493003845,0.820205807685852,1.1806814670562744,0.0,33,1.128621220588684,2.2009687423706055,1.9561379878986036,14.080842953569828,True,3,27,90.9090909090909,True,444.5790000000002,4.617000000000004,0.49769270246591624,True,0.42857142857142855
mol2mol_baseline_0063,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ccn(C(=O)C(C)C)n3)c2C1,C28,0.9527965784072876,0.9527965784072876,0.839095413684845,0.9792895317077637,0.0,26,1.0906155109405518,1.7654645442962646,1.7506712356693361,49.08184640684664,True,3,18,92.3076923076923,True,352.3940000000001,2.4598000000000004,0.8568564292795802,True,0.6029411764705882
mol2mol_baseline_0060,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3cc(C4=CCN(C(=O)OC(C)(C)C)CC4)n[nH]3)c2C1,C38,0.9397973418235779,0.9397973418235779,0.8148126602172852,1.26011061668396,0.0,34,0.9696452617645264,1.8835581541061401,1.969382566339004,17.80043313143277,True,5,23,94.11764705882354,True,463.53800000000035,3.714400000000002,0.6723201525743948,True,0.4044943820224719
mol2mol_baseline_0064,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)NC(Cc3ccccc3)C(C)C)c2C1,C31,0.8338893055915833,0.8338893055915833,0.7842968702316284,1.2616794109344482,0.0,27,3.3197221755981445,4.3890180587768555,1.9727740291528555,63.21737058481145,True,1,22,74.07407407407408,True,362.4730000000001,3.7119000000000026,0.7965720245360494,True,0.5070422535211268
mol2mol_baseline_0065,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3nccn3C(C)c3ccccc3)c2C1,C28,0.9648543000221252,0.9648543000221252,0.8430505990982056,0.816990852355957,0.0,29,0.8406829833984375,1.4779417514801025,1.4719525944132845,6.701162079121332,True,2,23,82.75862068965517,True,386.45500000000015,3.7729000000000026,0.6789221926614265,True,0.527027027027027
mol2mol_baseline_0066,mol2mol_baseline,C=CC(=O)N1CC2=C(C(C)C)C(Nc3ncn(C(C)C)n3)C(=CC=C2)C1=O,C32,0.9432070851325989,0.9432070851325989,0.8291444778442383,1.0642831325531006,0.0,27,1.0387738943099976,1.8788156509399414,1.6795276110561552,8.267243151682521,True,3,20,88.88888888888889,True,367.45300000000015,2.6431000000000004,0.8094830357857047,True,0.25274725274725274
mol2mol_baseline_0067,mol2mol_baseline,C=CC(=O)N1Cc2cccc(C(=O)Nc3ncn(C)n3)c2C1,C22,0.9756080508232117,0.9756080508232117,0.8395320773124695,1.153788685798645,0.0,22,0.7683544158935547,1.3820139169692993,1.9559887012454844,57.3688164851782,True,4,15,95.45454545454545,True,297.31800000000004,1.0956,0.8601929826957483,True,0.6153846153846154
